ticket,title,role,h_min,c_min,actual_min,delta_h_min,delta_c_min,started_iso,finished_iso,closed_commit,notes
119,"assembler.js (a) lifecycle/output term inventory",WRITER,60,,10,-50,,,2026-05-28T11:58:35-10:00,cad1755,"first spike; warm-up cost; read 600L + populated section (a)"
120,"assembler.js (b) pass model + file parsing term inventory",WRITER,60,,16,-44,,,2026-05-28T12:14:10-10:00,cfe2348,"included filing 3 follow-up puzzles for #119 findings"
121,"assembler.js (c) tokens + dispatch term inventory",WRITER,60,,2,-58,,,2026-05-28T12:16:35-10:00,cac9c84,"densest section by directive count but mechanical"
122,"assembler.js (d) per-instruction encoders term inventory",WRITER,60,,3,-57,,,2026-05-28T12:19:40-10:00,7129c56,"bonus: also closed #125 (E/e/V disambiguation)"
123,"assembler.js (e) operand helpers term inventory",WRITER,60,,2,-58,,,2026-05-28T12:21:17-10:00,43937c5,"smallest section; finally documented fp/sp/lr -> r5/r6/r7"
124,".e/.o glossary entry shape design",ARC,30,4,1.5,-28.5,-2.5,2026-05-28T12:31:56-10:00,2026-05-28T12:33:28-10:00,4eed817,"first dual-estimate row; first ARC puzzle; my C ran ~2.5x too high"
126,".bst format / purpose research",WRITER,30,3,1,-29,-2,2026-05-28T12:38:38-10:00,2026-05-28T12:39:28-10:00,408de9e,".bst = binary listing — same content as .lst but machine words in binary (4-bit nibbles) instead of hex; only the isBST flag toggles"
109,"interpreter.js term inventory (single spike, 1753L)",WRITER,60,12,4,-56,-8,2026-05-28T12:41:48-10:00,2026-05-28T12:45:41-10:00,d93e208,"single-spike test (no decomposition); my C ran ~3x too high — third consecutive over-padding"
110,"linker.js term inventory (smallest core file, 365L)",WRITER,60,3,1.25,-58.75,-1.75,2026-05-28T12:46:52-10:00,2026-05-28T12:48:07-10:00,eca6ebc,"calibrated C estimate (down from naive 4-5m); still over-padded ~2.4x; pattern improving"
113,"linker.js glossary definitions (write phase)",WRITER,60,10,2.78,-57.22,-7.22,2026-05-28T13:02:47-10:00,2026-05-28T13:05:34-10:00,fa66f14,"first WRITER write-phase puzzle; even calibrated-down C ran 3.6x over; over-pad pattern persistent across role transitions"
106,"empty/whitespace .a → header-only .bst/.lst (parity)",DEV,30,12,4.95,-25.05,-7.05,2026-05-28T13:03:47-10:00,2026-05-28T13:08:44-10:00,200bca3,"BY DESIGN: LCC.js exit 0 + no artifacts vs OG exit 1 + header-only listings; corrected issue premise (OG does print 'Empty file'/exit 1). C over-padded ~2.4x — over-pad pattern persists into DEV role"
112,"interpreter.js glossary definitions (write phase)",WRITER,60,6,2.67,-57.33,-3.33,2026-05-28T13:09:32-10:00,2026-05-28T13:12:12-10:00,3ddea5a,"second write-phase puzzle; C ran 2.25x over (tighter than #113's 3.6x); concurrent with another agent's #106 close — no conflicts"
105,"undefined-label br → orphan blank .e (parity)",DEV,45,7,2.98,-42.02,-4.02,2026-05-28T13:17:47-10:00,2026-05-28T13:20:46-10:00,e0a6325,"OG BUG: both error + exit 1, but OG leaves a runnable blank .e (infinite-loops) vs LCC.js no artifact; corrected premise (OG does error). C calibrated down to 7m, still ~2.3x over. Worked in a git worktree (parallel terminal)"
